id,year,title,genre,description,language,rating
27,2026,"Echoes of Time 2","Animation","A mysterious artifact allows a historian to glimpse events from another century. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",7.7
28,2000,"The Silent House 2","Comedy|Thriller","A family moves into an old house where unexplained events begin every night. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",7.3
29,2001,"Beyond the Arena 2","Crime","An underestimated athlete fights through setbacks to reach a national championship. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",6.9
30,2002,"City of Dreams 2","Drama","Friends chase ambitious dreams while navigating friendship, family and success. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",6.5
31,2003,"Ocean of Secrets 2","Fantasy|Mystery","A marine researcher discovers evidence of something extraordinary beneath the sea. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",6.1
32,2004,"The Forgotten Kingdom 2","Horror","An adventurer searches for a lost civilization hidden beyond the mountains. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",9.8
33,2005,"Laughing Matters 2","Mystery","A struggling comedian finds a new purpose after an unexpected road trip. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",9.4
34,2006,"Crimson Evidence 2","Romance|Drama","A journalist investigates a case that powerful people want to keep hidden. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",9.0
35,2007,"Parallel Lives 2","Sci-Fi","Two people in different realities discover that their choices are strangely connected. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",8.6
36,2008,"The Great Heist 2","Thriller","A clever team plans an impossible museum robbery while a detective closes in. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",8.2
37,2009,"Moonlight Promise 2","Action|Animation","A chance meeting leads two people to reconsider the lives they thought they wanted. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",7.8
38,2010,"Robot Rebellion 2","Adventure","Engineers must stop an artificial intelligence system after machines begin acting independently. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",7.4
39,2011,"House of Whispers 2","Animation","A group of friends explores an abandoned mansion and uncovers its disturbing history. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",7.0
40,2012,"Road to Victory 2","Comedy|Thriller","A coach rebuilds a struggling team and teaches its players to trust one another. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",6.6
41,2013,"Shadow Protocol 3","Crime","A skilled operative uncovers a secret network threatening cities around the world. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",6.2
42,2014,"The Last Horizon 3","Drama","A group of explorers travels beyond known space to search for a new home. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",5.8
43,2015,"Midnight Detective 3","Fantasy|Mystery","A determined detective follows a chain of clues through a city full of secrets. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",9.5
44,2016,"Kingdom of Stars 3","Horror","A young ruler must unite rival kingdoms when an ancient danger returns. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",9.1
45,2017,"Hearts in Monsoon 3","Mystery","Two strangers meet during a rainy season and discover an unexpected connection. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",8.7
46,2018,"Code Runner 3","Romance|Drama","A programmer races against time after discovering a powerful digital conspiracy. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.3
47,2019,"Echoes of Time 3","Sci-Fi","A mysterious artifact allows a historian to glimpse events from another century. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",7.9
48,2020,"The Silent House 3","Thriller","A family moves into an old house where unexplained events begin every night. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.5
49,2021,"Beyond the Arena 3","Action|Animation","An underestimated athlete fights through setbacks to reach a national championship. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",7.1
50,2022,"City of Dreams 3","Adventure","Friends chase ambitious dreams while navigating friendship, family and success. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",6.7
51,2023,"Ocean of Secrets 3","Animation","A marine researcher discovers evidence of something extraordinary beneath the sea. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.3
52,2024,"The Forgotten Kingdom 3","Comedy|Thriller","An adventurer searches for a lost civilization hidden beyond the mountains. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",5.9
53,2025,"Laughing Matters 3","Crime","A struggling comedian finds a new purpose after an unexpected road trip. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",9.6
54,2026,"Crimson Evidence 3","Drama","A journalist investigates a case that powerful people want to keep hidden. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",9.2
55,2000,"Parallel Lives 3","Fantasy|Mystery","Two people in different realities discover that their choices are strangely connected. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",8.8
56,2001,"The Great Heist 3","Horror","A clever team plans an impossible museum robbery while a detective closes in. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",8.4
57,2002,"Moonlight Promise 3","Mystery","A chance meeting leads two people to reconsider the lives they thought they wanted. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",8.0
58,2003,"Robot Rebellion 3","Romance|Drama","Engineers must stop an artificial intelligence system after machines begin acting independently. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",7.6
59,2004,"House of Whispers 3","Sci-Fi","A group of friends explores an abandoned mansion and uncovers its disturbing history. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",7.2
60,2005,"Road to Victory 3","Thriller","A coach rebuilds a struggling team and teaches its players to trust one another. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",6.8
61,2006,"Shadow Protocol 4","Action|Animation","A skilled operative uncovers a secret network threatening cities around the world. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",6.4
62,2007,"The Last Horizon 4","Adventure","A group of explorers travels beyond known space to search for a new home. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",6.0
63,2008,"Midnight Detective 4","Animation","A determined detective follows a chain of clues through a city full of secrets. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",9.7
64,2009,"Kingdom of Stars 4","Comedy|Thriller","A young ruler must unite rival kingdoms when an ancient danger returns. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",9.3
65,2010,"Hearts in Monsoon 4","Crime","Two strangers meet during a rainy season and discover an unexpected connection. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",8.9
66,2011,"Code Runner 4","Drama","A programmer races against time after discovering a powerful digital conspiracy. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",8.5
67,2012,"Echoes of Time 4","Fantasy|Mystery","A mysterious artifact allows a historian to glimpse events from another century. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",8.1
68,2013,"The Silent House 4","Horror","A family moves into an old house where unexplained events begin every night. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",7.7
69,2014,"Beyond the Arena 4","Mystery","An underestimated athlete fights through setbacks to reach a national championship. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",7.3
70,2015,"City of Dreams 4","Romance|Drama","Friends chase ambitious dreams while navigating friendship, family and success. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",6.9
71,2016,"Ocean of Secrets 4","Sci-Fi","A marine researcher discovers evidence of something extraordinary beneath the sea. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",6.5
72,2017,"The Forgotten Kingdom 4","Thriller","An adventurer searches for a lost civilization hidden beyond the mountains. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",6.1
73,2018,"Laughing Matters 4","Action|Animation","A struggling comedian finds a new purpose after an unexpected road trip. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",9.8
74,2019,"Crimson Evidence 4","Adventure","A journalist investigates a case that powerful people want to keep hidden. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",9.4
75,2020,"Parallel Lives 4","Animation","Two people in different realities discover that their choices are strangely connected. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",9.0
76,2021,"The Great Heist 4","Comedy|Thriller","A clever team plans an impossible museum robbery while a detective closes in. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.6
77,2022,"Moonlight Promise 4","Crime","A chance meeting leads two people to reconsider the lives they thought they wanted. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",8.2
78,2023,"Robot Rebellion 4","Drama","Engineers must stop an artificial intelligence system after machines begin acting independently. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.8
79,2024,"House of Whispers 4","Fantasy|Mystery","A group of friends explores an abandoned mansion and uncovers its disturbing history. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",7.4
80,2025,"Road to Victory 4","Horror","A coach rebuilds a struggling team and teaches its players to trust one another. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",7.0
81,2026,"Shadow Protocol 5","Mystery","A skilled operative uncovers a secret network threatening cities around the world. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.6
82,2000,"The Last Horizon 5","Romance|Drama","A group of explorers travels beyond known space to search for a new home. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",6.2
83,2001,"Midnight Detective 5","Sci-Fi","A determined detective follows a chain of clues through a city full of secrets. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",5.8
84,2002,"Kingdom of Stars 5","Thriller","A young ruler must unite rival kingdoms when an ancient danger returns. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",9.5
85,2003,"Hearts in Monsoon 5","Action|Animation","Two strangers meet during a rainy season and discover an unexpected connection. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",9.1
86,2004,"Code Runner 5","Adventure","A programmer races against time after discovering a powerful digital conspiracy. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",8.7
87,2005,"Echoes of Time 5","Animation","A mysterious artifact allows a historian to glimpse events from another century. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",8.3
88,2006,"The Silent House 5","Comedy|Thriller","A family moves into an old house where unexplained events begin every night. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",7.9
89,2007,"Beyond the Arena 5","Crime","An underestimated athlete fights through setbacks to reach a national championship. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",7.5
90,2008,"City of Dreams 5","Drama","Friends chase ambitious dreams while navigating friendship, family and success. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.1
91,2009,"Ocean of Secrets 5","Fantasy|Mystery","A marine researcher discovers evidence of something extraordinary beneath the sea. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",6.7
92,2010,"The Forgotten Kingdom 5","Horror","An adventurer searches for a lost civilization hidden beyond the mountains. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",6.3
93,2011,"Laughing Matters 5","Mystery","A struggling comedian finds a new purpose after an unexpected road trip. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",5.9
94,2012,"Crimson Evidence 5","Romance|Drama","A journalist investigates a case that powerful people want to keep hidden. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",9.6
95,2013,"Parallel Lives 5","Sci-Fi","Two people in different realities discover that their choices are strangely connected. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",9.2
96,2014,"The Great Heist 5","Thriller","A clever team plans an impossible museum robbery while a detective closes in. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",8.8
97,2015,"Moonlight Promise 5","Action|Animation","A chance meeting leads two people to reconsider the lives they thought they wanted. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",8.4
98,2016,"Robot Rebellion 5","Adventure","Engineers must stop an artificial intelligence system after machines begin acting independently. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",8.0
99,2017,"House of Whispers 5","Animation","A group of friends explores an abandoned mansion and uncovers its disturbing history. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",7.6
100,2018,"Road to Victory 5","Comedy|Thriller","A coach rebuilds a struggling team and teaches its players to trust one another. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",7.2
101,2019,"Shadow Protocol 6","Crime","A skilled operative uncovers a secret network threatening cities around the world. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",6.8
102,2020,"The Last Horizon 6","Drama","A group of explorers travels beyond known space to search for a new home. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",6.4
103,2021,"Midnight Detective 6","Fantasy|Mystery","A determined detective follows a chain of clues through a city full of secrets. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",6.0
104,2022,"Kingdom of Stars 6","Horror","A young ruler must unite rival kingdoms when an ancient danger returns. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",9.7
105,2023,"Hearts in Monsoon 6","Mystery","Two strangers meet during a rainy season and discover an unexpected connection. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",9.3
106,2024,"Code Runner 6","Romance|Drama","A programmer races against time after discovering a powerful digital conspiracy. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.9
107,2025,"Echoes of Time 6","Sci-Fi","A mysterious artifact allows a historian to glimpse events from another century. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",8.5
108,2026,"The Silent House 6","Thriller","A family moves into an old house where unexplained events begin every night. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",8.1
109,2000,"Beyond the Arena 6","Action|Animation","An underestimated athlete fights through setbacks to reach a national championship. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",7.7
110,2001,"City of Dreams 6","Adventure","Friends chase ambitious dreams while navigating friendship, family and success. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",7.3
111,2002,"Ocean of Secrets 6","Animation","A marine researcher discovers evidence of something extraordinary beneath the sea. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.9
112,2003,"The Forgotten Kingdom 6","Comedy|Thriller","An adventurer searches for a lost civilization hidden beyond the mountains. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",6.5
113,2004,"Laughing Matters 6","Crime","A struggling comedian finds a new purpose after an unexpected road trip. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",6.1
114,2005,"Crimson Evidence 6","Drama","A journalist investigates a case that powerful people want to keep hidden. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",9.8
115,2006,"Parallel Lives 6","Fantasy|Mystery","Two people in different realities discover that their choices are strangely connected. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",9.4
116,2007,"The Great Heist 6","Horror","A clever team plans an impossible museum robbery while a detective closes in. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",9.0
117,2008,"Moonlight Promise 6","Mystery","A chance meeting leads two people to reconsider the lives they thought they wanted. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",8.6
118,2009,"Robot Rebellion 6","Romance|Drama","Engineers must stop an artificial intelligence system after machines begin acting independently. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.2
119,2010,"House of Whispers 6","Sci-Fi","A group of friends explores an abandoned mansion and uncovers its disturbing history. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",7.8
120,2011,"Road to Victory 6","Thriller","A coach rebuilds a struggling team and teaches its players to trust one another. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.4
121,2012,"Shadow Protocol 7","Action|Animation","A skilled operative uncovers a secret network threatening cities around the world. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",7.0
122,2013,"The Last Horizon 7","Adventure","A group of explorers travels beyond known space to search for a new home. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",6.6
123,2014,"Midnight Detective 7","Animation","A determined detective follows a chain of clues through a city full of secrets. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.2
124,2015,"Kingdom of Stars 7","Comedy|Thriller","A young ruler must unite rival kingdoms when an ancient danger returns. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",5.8
125,2016,"Hearts in Monsoon 7","Crime","Two strangers meet during a rainy season and discover an unexpected connection. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",9.5
126,2017,"Code Runner 7","Drama","A programmer races against time after discovering a powerful digital conspiracy. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",9.1
127,2018,"Echoes of Time 7","Fantasy|Mystery","A mysterious artifact allows a historian to glimpse events from another century. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",8.7
128,2019,"The Silent House 7","Horror","A family moves into an old house where unexplained events begin every night. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",8.3
129,2020,"Beyond the Arena 7","Mystery","An underestimated athlete fights through setbacks to reach a national championship. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",7.9
130,2021,"City of Dreams 7","Romance|Drama","Friends chase ambitious dreams while navigating friendship, family and success. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",7.5
131,2022,"Ocean of Secrets 7","Sci-Fi","A marine researcher discovers evidence of something extraordinary beneath the sea. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",7.1
132,2023,"The Forgotten Kingdom 7","Thriller","An adventurer searches for a lost civilization hidden beyond the mountains. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",6.7
133,2024,"Laughing Matters 7","Action|Animation","A struggling comedian finds a new purpose after an unexpected road trip. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",6.3
134,2025,"Crimson Evidence 7","Adventure","A journalist investigates a case that powerful people want to keep hidden. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",5.9
135,2026,"Parallel Lives 7","Animation","Two people in different realities discover that their choices are strangely connected. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",9.6
136,2000,"The Great Heist 7","Comedy|Thriller","A clever team plans an impossible museum robbery while a detective closes in. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",9.2
137,2001,"Moonlight Promise 7","Crime","A chance meeting leads two people to reconsider the lives they thought they wanted. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",8.8
138,2002,"Robot Rebellion 7","Drama","Engineers must stop an artificial intelligence system after machines begin acting independently. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",8.4
139,2003,"House of Whispers 7","Fantasy|Mystery","A group of friends explores an abandoned mansion and uncovers its disturbing history. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",8.0
140,2004,"Road to Victory 7","Horror","A coach rebuilds a struggling team and teaches its players to trust one another. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",7.6
141,2005,"Shadow Protocol 8","Mystery","A skilled operative uncovers a secret network threatening cities around the world. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",7.2
142,2006,"The Last Horizon 8","Romance|Drama","A group of explorers travels beyond known space to search for a new home. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",6.8
143,2007,"Midnight Detective 8","Sci-Fi","A determined detective follows a chain of clues through a city full of secrets. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",6.4
144,2008,"Kingdom of Stars 8","Thriller","A young ruler must unite rival kingdoms when an ancient danger returns. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",6.0
145,2009,"Hearts in Monsoon 8","Action|Animation","Two strangers meet during a rainy season and discover an unexpected connection. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",9.7
146,2010,"Code Runner 8","Adventure","A programmer races against time after discovering a powerful digital conspiracy. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",9.3
147,2011,"Echoes of Time 8","Animation","A mysterious artifact allows a historian to glimpse events from another century. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",8.9
148,2012,"The Silent House 8","Comedy|Thriller","A family moves into an old house where unexplained events begin every night. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.5
149,2013,"Beyond the Arena 8","Crime","An underestimated athlete fights through setbacks to reach a national championship. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",8.1
150,2014,"City of Dreams 8","Drama","Friends chase ambitious dreams while navigating friendship, family and success. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.7
151,2015,"Ocean of Secrets 8","Fantasy|Mystery","A marine researcher discovers evidence of something extraordinary beneath the sea. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",7.3
152,2016,"The Forgotten Kingdom 8","Horror","An adventurer searches for a lost civilization hidden beyond the mountains. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",6.9
153,2017,"Laughing Matters 8","Mystery","A struggling comedian finds a new purpose after an unexpected road trip. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.5
154,2018,"Crimson Evidence 8","Romance|Drama","A journalist investigates a case that powerful people want to keep hidden. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",6.1
155,2019,"Parallel Lives 8","Sci-Fi","Two people in different realities discover that their choices are strangely connected. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",9.8
156,2020,"The Great Heist 8","Thriller","A clever team plans an impossible museum robbery while a detective closes in. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",9.4
157,2021,"Moonlight Promise 8","Action|Animation","A chance meeting leads two people to reconsider the lives they thought they wanted. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",9.0
158,2022,"Robot Rebellion 8","Adventure","Engineers must stop an artificial intelligence system after machines begin acting independently. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",8.6
159,2023,"House of Whispers 8","Animation","A group of friends explores an abandoned mansion and uncovers its disturbing history. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",8.2
160,2024,"Road to Victory 8","Comedy|Thriller","A coach rebuilds a struggling team and teaches its players to trust one another. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",7.8
161,2025,"Shadow Protocol 9","Crime","A skilled operative uncovers a secret network threatening cities around the world. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",7.4
162,2026,"The Last Horizon 9","Drama","A group of explorers travels beyond known space to search for a new home. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.0
163,2000,"Midnight Detective 9","Fantasy|Mystery","A determined detective follows a chain of clues through a city full of secrets. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",6.6
164,2001,"Kingdom of Stars 9","Horror","A young ruler must unite rival kingdoms when an ancient danger returns. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",6.2
165,2002,"Hearts in Monsoon 9","Mystery","Two strangers meet during a rainy season and discover an unexpected connection. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",5.8
166,2003,"Code Runner 9","Romance|Drama","A programmer races against time after discovering a powerful digital conspiracy. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",9.5
167,2004,"Echoes of Time 9","Sci-Fi","A mysterious artifact allows a historian to glimpse events from another century. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",9.1
168,2005,"The Silent House 9","Thriller","A family moves into an old house where unexplained events begin every night. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",8.7
169,2006,"Beyond the Arena 9","Action|Animation","An underestimated athlete fights through setbacks to reach a national championship. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",8.3
170,2007,"City of Dreams 9","Adventure","Friends chase ambitious dreams while navigating friendship, family and success. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",7.9
