id,name,liked,watched,ratings,favoriteGenres,preferredLanguage
11,"Diya Reddy",78|89|100|111|122|133|144|155,3|16|29|42|55|73|78|86|89|99|112|125|138|151|164|177|190,3:9|16:4|29:7|42:10|55:5|78:6|89:3|100:8|111:5|122:10|133:7|144:4|155:9,"",""
12,"Ishita Singh",85|96|107|118|129|140|151|162|173,8|21|34|47|60|73|78|85|86|91|96|99|104|107|117|130|143|156|169|182|195,8:7|21:10|34:5|47:8|60:3|85:10|96:7|107:4|118:9|129:6|140:3|151:8|162:5|173:10,"",""
13,"Priya Nair",92|103|114|125|136|147|158|169|180|191,83|92|96|103|109|114|122|135|148|161|174,83:7|92:6|96:10|103:3|109:5|114:8|125:5|136:10|147:7|158:4|169:9|180:6|191:3,"",""
14,"Meera Kumar",9|99|110|121|132|143|154|165|176|187|198,5|9|18|88|99|101|110|114|127|140|153|166|179|192,5:8|9:4|18:3|88:5|99:10|110:7|121:4|132:9|143:6|154:3|165:8|176:5|187:10|198:7,"",""
15,"Kavya Malhotra",5|16|27|106|117|128|139|150|161|172|183|194,5|10|16|23|27|36|49|62|93|106|119|132|145|158|171|184|197,5:3|10:6|16:8|23:9|27:5|106:6|117:3|128:8|139:5|150:10|161:7|172:4|183:9|194:6,"",""
16,"Sneha Sharma",1|12|23|34|45|113|124|135|146|157|168|179|190,1|2|12|15|23|28|34|41|54|67|80|93|98|106|111|124|137|150|163|176|189,1:10|2:9|12:7|15:4|23:4|34:9|45:6|113:10|124:7|135:4|146:9|157:6|168:3|179:8|190:5,"",""
17,"Neha Joshi",8|19|30|41|52|63|120|131|142|153|164|175|186|197,7|8|19|20|30|33|41|46|59|72|85|98|103|111|116|124|129|137|142|150|155|168|181|194,7:7|8:6|19:3|20:10|30:8|41:5|52:10|63:7|120:6|131:3|142:8|153:5|164:10|175:7|186:4|197:9,"",""
18,"Riya Kapoor",127|138|149|160|171|182,12|25|108|121|127|134|138|147|160|173|186|199,12:5|25:8|108:5|121:8|127:10|138:7|149:4|160:9|171:6|182:3,"",""
19,"Pooja Mehta",134|145|156|167|178|189|200,4|17|30|43|56|69|113|126|134|139|145|152|165|178|191,4:8|17:3|30:6|43:9|56:4|134:6|145:3|156:8|167:5|178:10|189:7|200:4,"",""
20,"Simran Roy",7|18|141|152|163|174|185|196,7|9|18|22|35|48|61|74|87|100|113|118|131|144|157|170|183|196,7:8|9:6|18:5|22:9|35:4|141:10|152:7|163:4|174:9|185:6|196:3,"",""
21,"Aarav Verma",3|14|25|36|148|159|170|181|192,1|3|14|25|27|40|53|66|79|92|105|118|123|131|136|144|149|157|162|175|188,1:9|3:7|14:4|25:9|27:7|36:6|148:6|159:3|170:8|181:5|192:10,"",""
22,"Vivaan Das",10|21|32|43|54|155|166|177|188|199,6|10|19|21|32|128|141|154|167|180|193,6:7|10:3|19:10|21:8|32:5|43:10|54:7|155:10|166:7|177:4|188:9|199:6,"",""
23,"Aditya Gupta",6|17|28|39|50|61|72|162|173|184|195,6|11|17|24|28|37|50|63|76|133|146|159|172|185|198,6:10|11:5|17:7|24:8|28:4|39:9|50:6|61:3|72:8|162:6|173:3|184:8|195:5,"",""
24,"Arjun Iyer",2|13|24|35|46|57|68|79|90|169|180|191,2|3|13|16|24|29|35|42|55|68|81|94|107|120|138|151|164|177|190,2:9|3:8|13:6|16:3|24:3|35:8|46:5|57:10|68:7|79:4|90:9|169:10|180:7|191:4,"",""
25,"Rohan Patel",9|20|31|42|53|64|75|86|97|108|176|187|198,8|9|20|21|31|34|42|47|60|73|86|99|112|125|138|143|151|156|164|169|182|195,8:6|9:5|20:10|21:9|31:7|42:4|53:9|64:6|75:3|86:8|97:5|108:10|176:6|187:3|198:8,"",""
26,"Kabir Reddy",5|16|27|38|49|60|71|82|93|104|115|126|183|194,5|13|16|26|27|38|39|148|161|174|187|200,5:4|13:4|16:9|26:7|27:6|38:3|49:8|60:5|71:10|82:7|93:4|104:9|115:6|126:3|183:10|194:7,"",""
27,"Rahul Singh",1|12|23|34|45|190,1|5|12|18|31|44|57|70|83|153|166|179|192,1:3|5:7|12:8|18:10|23:5|31:5|34:10|45:7|190:6,"",""
28,"Karan Nair",8|19|30|41|52|63|197,8|10|19|23|36|49|62|75|88|101|114|127|158|171|184|197,8:7|10:5|19:4|23:8|30:9|36:3|41:6|52:3|63:8|197:10,"",""
29,"Ananya Kumar",4|15|26|37|48|59|70|81,2|4|15|28|41|54|67|80|93|106|119|132|145|158|163|171|176|189,2:8|4:6|15:3|26:8|28:6|37:5|41:9|48:10|59:7|70:4|81:9,"",""
30,"Aanya Malhotra",11|22|33|44|55|66|77|88|99,2|7|11|15|20|22|33|46|59|72|85|98|111|124|137|150|163|168|176|181|189|194,2:3|7:6|11:10|15:6|20:9|22:7|33:4|44:9|55:6|66:3|77:8|88:5|99:10,"",""
31,"Diya Sharma",18|29|40|51|62|73|84|95|106|117,12|18|25|29|38|40|51|64|77|90|173|186|199,12:4|18:6|25:7|29:3|38:10|40:8|51:5|62:10|73:7|84:4|95:9|106:6|117:3,"",""
32,"Ishita Joshi",25|36|47|58|69|80|91|102|113|124|135,4|17|25|30|36|43|47|56|69|82|95|108|121|134|178|191,4:7|17:10|25:10|30:5|36:7|47:4|58:9|69:6|80:3|91:8|102:5|113:10|124:7|135:4,"",""
33,"Priya Kapoor",32|43|54|65|76|87|98|109|120|131|142|153,9|22|32|35|43|48|54|61|65|74|87|100|113|126|139|152|165|178|183|196,9:5|22:8|32:6|35:3|43:3|54:8|65:5|76:10|87:7|98:4|109:9|120:6|131:3|142:8|153:5,"",""
34,"Meera Mehta",39|50|61|72|83|94|105|116|127|138|149|160|171,1|9|14|22|27|39|40|50|53|61|66|72|79|92|105|118|131|144|157|170|183|188|196,1:8|9:8|14:3|22:3|27:6|39:10|50:7|61:4|72:9|83:6|94:3|105:8|116:5|127:10|138:7|149:4|160:9|171:6,"",""
35,"Kavya Roy",46|57|68|79|90|101|112|123|134|145|156|167|178|189,6|19|32|45|46|57|58|68|71|79|84|97|193,6:6|19:9|32:4|45:7|46:6|57:3|68:8|79:5|90:10|101:7|112:4|123:9|134:6|145:3|156:8|167:5|178:10|189:7,"",""
36,"Sneha Verma",53|64|75|86|97|108,11|24|37|50|53|63|64|76|89|102|115|128|141|198,11:4|24:7|37:10|50:5|53:10|64:7|75:4|86:9|97:6|108:3,"",""
37,"Neha Das",60|71|82|93|104|115|126,3|16|29|42|55|60|68|71|81|94|107|120|133|146|159|172|185,3:7|16:10|29:5|42:8|55:3|60:6|71:3|82:8|93:5|104:10|115:7|126:4,"",""
38,"Riya Gupta",67|78|89|100|111|122|133|144,3|8|16|21|29|34|47|60|67|73|78|86|99|112|125|138|151|164|177|190,3:10|8:5|16:5|21:8|29:8|67:10|78:7|89:4|100:9|111:6|122:3|133:8|144:5,"",""
39,"Pooja Iyer",74|85|96|107|118|129|140|151|162,13|26|39|52|65|74|78|85|91|96|104,13:3|26:6|39:9|52:4|65:7|74:6|85:3|96:8|107:5|118:10|129:7|140:4|151:9|162:6,"",""
40,"Simran Patel",81|92|103|114|125|136|147|158|169|180,18|31|44|57|70|81|83|92|96|103|109|122|135|148,18:9|31:4|44:7|57:10|70:5|81:10|92:7|103:4|114:9|125:6|136:3|147:8|158:5|169:10|180:7,"",""
41,"Aarav Reddy",88|99|110|121|132|143|154|165|176|187|198,23|36|49|62|75|88|99|101|110|114|127|140|153|166|179|192,23:7|36:10|49:5|62:8|75:3|88:6|99:3|110:8|121:5|132:10|143:7|154:4|165:9|176:6|187:3|198:8,"",""
42,"Vivaan Singh",5|16|95|106|117|128|139|150|161|172|183|194,5|10|16|23|28|36|41|54|67|80|93|95|106|119|132|145|158|171|184|197,5:4|10:7|16:9|23:10|28:5|95:10|106:7|117:4|128:9|139:6|150:3|161:8|172:5|183:10|194:7,"",""
43,"Aditya Nair",1|12|23|34|102|113|124|135|146|157|168|179|190,1|2|12|15|23|28|33|34|41|46|54|59|67|72|80|85|98|111|124|137|150|163|176|189,1:3|2:10|12:8|15:5|23:5|34:10|102:6|113:3|124:8|135:5|146:10|157:7|168:4|179:9|190:6,"",""
44,"Arjun Kumar",8|19|30|41|52|109|120|131|142|153|164|175|186|197,8|19|30|38|41|51|64|77|90|103|116|129|142|155,8:7|19:4|30:9|38:9|41:6|52:3|109:10|120:7|131:4|142:9|153:6|164:3|175:8|186:5|197:10,"",""
45,"Rohan Malhotra",116|127|138|149|160|171,43|56|69|82|95|108|116|121|127|134|147|160|173|186|199,43:7|56:10|69:5|82:8|95:3|116:6|127:3|138:8|149:5|160:10|171:7,"",""
46,"Kabir Sharma",123|134|145|156|167|178|189,4|17|30|43|48|61|74|87|100|113|123|126|134|139|152|165|178|191,4:9|17:4|30:7|43:10|48:5|123:10|134:7|145:4|156:9|167:6|178:3|189:8,"",""
47,"Rahul Joshi",7|130|141|152|163|174|185|196,7|9|22|35|48|53|61|66|74|79|87|92|105|118|130|131|144|157|170|183|196,7:9|9:7|22:10|35:5|48:8|130:6|141:3|152:8|163:5|174:10|185:7|196:4,"",""
48,"Karan Kapoor",3|14|25|137|148|159|170|181|192,3|14|25|58|71|84|97|110|123|136|149|162,3:8|14:5|25:10|58:9|71:4|137:10|148:7|159:4|170:9|181:6|192:3,"",""
49,"Ananya Mehta",10|21|32|43|144|155|166|177|188|199,6|10|21|32|63|76|89|102|115|128|141|154|167|180|193,6:8|10:4|21:9|32:6|43:3|63:7|144:6|155:3|166:8|177:5|188:10|199:7,"",""
50,"Aanya Roy",6|17|28|39|50|61|151|162|173|184|195,6|11|17|24|28|37|50|68|81|94|107|120|133|146|159|172|185|198,6:3|11:6|17:8|24:9|28:5|39:10|50:7|61:4|151:10|162:7|173:4|184:9|195:6,"",""
51,"Diya Verma",2|13|24|35|46|57|68|79|158|169|180|191,2|3|13|16|24|29|35|42|55|68|73|81|86|94|99|112|125|138|151|164|177|190,2:10|3:9|13:7|16:4|24:4|35:9|46:6|57:3|68:8|79:5|158:6|169:3|180:8|191:5,"",""
52,"Ishita Das",9|20|31|42|53|64|75|86|97|165|176|187|198,9|20|31|42|78|91|104|117|130|143|156|169,9:6|20:3|31:8|42:5|53:10|64:7|75:4|78:9|86:9|97:6|165:10|176:7|187:4|198:9,"",""
53,"Priya Gupta",5|16|27|38|49|60|71|82|93|104|115|172|183|194,5|13|16|27|38|83|96|109|122|135|148|161|174|187|200,5:5|13:5|16:10|27:7|38:4|49:9|60:6|71:3|82:8|93:5|104:10|115:7|172:6|183:3|194:8,"",""
54,"Meera Iyer",1|12|23|34|179|190,1|5|12|18|31|44|57|88|101|114|127|140|153|166|179|192,1:4|5:8|12:9|18:3|23:6|31:6|34:3|179:10|190:7,"",""
55,"Kavya Patel",8|19|30|41|52|186|197,8|10|19|23|36|49|62|75|88|93|101|106|119|132|145|158|171|184|197,8:8|10:6|19:5|23:9|30:10|36:4|41:7|52:4|186:6|197:3,"",""
56,"Sneha Reddy",4|15|26|37|48|59|70|193,2|4|15|28|41|54|67|80|93|98|106|111|119|124|132|137|145|150|163|176|189,2:9|4:7|15:4|26:9|28:7|37:6|41:10|48:3|59:8|70:5|193:10,"",""
57,"Neha Singh",11|22|33|44|55|66|77|88|200,7|11|20|22|33|103|116|129|142|155|168|181|194,7:7|11:3|20:10|22:8|33:5|44:10|55:7|66:4|77:9|88:6|200:6,"",""
58,"Riya Nair",7|18|29|40|51|62|73|84|95|106,7|12|18|25|29|38|51|64|108|121|134|147|160|173|186|199,7:10|12:5|18:7|25:8|29:4|40:9|51:6|62:3|73:8|84:5|95:10|106:7,"",""
59,"Pooja Kumar",14|25|36|47|58|69|80|91|102|113|124,4|14|17|25|30|36|43|56|69|82|95|108|113|126|139|152|165|178|191,4:8|14:6|17:3|25:3|30:6|36:8|47:5|58:10|69:7|80:4|91:9|102:6|113:3|124:8,"",""
60,"Simran Malhotra",21|32|43|54|65|76|87|98|109|120|131|142,9|21|22|32|35|43|48|54|61|74|87|100|113|118|126|131|139|144|152|157|170|183|196,9:6|21:10|22:9|32:7|35:4|43:4|54:9|65:6|76:3|87:8|98:5|109:10|120:7|131:4|142:9,"",""
61,"Aarav Sharma",28|39|50|61|72|83|94|105|116|127|138|149|160,1|14|27|28|39|50|61|123|136|149|162|175|188,1:9|14:4|27:7|28:6|39:3|50:8|61:5|72:10|83:7|94:4|105:9|116:6|127:3|138:8|149:5|160:10,"",""
62,"Vivaan Joshi",35|46|57|68|79|90|101|112|123|134|145|156|167|178,6|19|32|35|45|46|57|58|68|71|128|141|154|167|180|193,6:7|19:10|32:5|35:10|45:8|46:7|57:4|68:9|79:6|90:3|101:8|112:5|123:10|134:7|145:4|156:9|167:6|178:3,"",""
63,"Aditya Kapoor",42|53|64|75|86|97,11|24|37|42|50|53|63|76|89|102|115|133|146|159|172|185|198,11:5|24:8|37:3|42:6|50:6|53:3|64:8|75:5|86:10|97:7,"",""
64,"Arjun Mehta",49|60|71|82|93|104|115,3|16|29|42|49|55|60|68|81|94|107|120|133|138|146|151|159|164|177|190,3:8|16:3|29:6|42:9|49:10|60:7|71:4|82:9|93:6|104:3|115:8,"",""
65,"Rohan Roy",56|67|78|89|100|111|122|133,8|21|34|56|67|143|156|169|182|195,8:6|21:9|34:4|56:6|67:3|78:8|89:5|100:10|111:7|122:4|133:9,"",""
66,"Kabir Verma",63|74|85|96|107|118|129|140|151,13|26|39|52|63|65|74|78|85|148|161|174|187|200,13:4|26:7|39:10|52:5|63:10|74:7|85:4|96:9|107:6|118:3|129:8|140:5|151:10,"",""
67,"Rahul Das",70|81|92|103|114|125|136|147|158|169,5|18|31|44|57|70|81|83|92|96|109|122|153|166|179|192,5:7|18:10|31:5|44:8|57:3|70:6|81:3|92:8|103:5|114:10|125:7|136:4|147:9|158:6|169:3,"",""
68,"Karan Gupta",77|88|99|110|121|132|143|154|165|176|187,10|23|36|49|62|75|77|88|99|101|114|127|140|153|158|166|171|184|197,10:5|23:8|36:3|49:6|62:9|77:10|88:7|99:4|110:9|121:6|132:3|143:8|154:5|165:10|176:7|187:4,"",""
69,"Ananya Iyer",5|84|95|106|117|128|139|150|161|172|183|194,2|5|10|15|28|41|54|67|80|84|93|95|106|119|132|145|158|163|171|176|184|189|197,2:8|5:5|10:8|15:3|28:6|84:6|95:3|106:8|117:5|128:10|139:7|150:4|161:9|172:6|183:3|194:8,"",""
70,"Aanya Patel",1|12|23|91|102|113|124|135|146|157|168|179|190,1|7|12|20|23|33|46|59|72|85|91|168|181|194,1:4|7:6|12:9|20:9|23:6|91:10|102:7|113:4|124:9|135:6|146:3|157:8|168:5|179:10|190:7,"",""
71,"Diya Reddy",8|19|30|41|98|109|120|131|142|153|164|175|186|197,8|12|19|25|30|38|41|51|64|77|90|103|116|129|173|186|199,8:8|12:4|19:5|25:7|30:10|41:7|98:6|109:3|120:8|131:5|142:10|153:7|164:4|175:9|186:6|197:3,"",""
72,"Ishita Singh",105|116|127|138|149|160,4|17|30|43|56|69|82|95|105|108|116|121|134|147|160|173|178|191,4:7|17:10|30:5|43:8|56:3|105:10|116:7|127:4|138:9|149:6|160:3,"",""
73,"Priya Nair",112|123|134|145|156|167|178,4|9|17|22|35|48|61|74|87|100|112|113|123|126|139|152|165|178|183|191|196,4:10|9:5|17:5|22:8|35:3|112:6|123:3|134:8|145:5|156:10|167:7|178:4,"",""
74,"Meera Kumar",119|130|141|152|163|174|185|196,1|14|27|40|53|66|79|92|119|130|188,1:8|14:3|27:6|40:9|53:4|119:10|130:7|141:4|152:9|163:6|174:3|185:8|196:5,"",""
75,"Kavya Malhotra",3|14|126|137|148|159|170|181|192,3|6|14|19|32|45|58|71|84|97|110|123|126|136|193,3:9|6:6|14:6|19:9|32:4|126:6|137:3|148:8|159:5|170:10|181:7|192:4,"",""
76,"Sneha Sharma",10|21|32|133|144|155|166|177|188|199,10|11|21|24|32|37|50|63|76|89|102|115|128|141|154|167|180|198,10:5|11:4|21:10|24:7|32:7|133:10|144:7|155:4|166:9|177:6|188:3|199:8,"",""
77,"Neha Joshi",6|17|28|39|50|140|151|162|173|184|195,3|6|11|16|17|24|28|29|42|55|68|81|94|107|120|133|146|159|172|185|198,3:7|6:4|11:7|16:10|17:9|28:6|39:3|50:8|140:6|151:3|162:8|173:5|184:10|195:7,"",""
78,"Riya Kapoor",2|13|24|35|46|57|68|147|158|169|180|191,2|8|13|21|24|34|35|47|60|73|86|99,2:3|8:5|13:8|21:8|24:5|35:10|46:7|57:4|68:9|147:10|158:7|169:4|180:9|191:6,"",""
79,"Pooja Mehta",9|20|31|42|53|64|75|86|154|165|176|187|198,9|13|20|26|31|39|42|52|65|78|91|104|117|130|143,9:7|13:3|20:4|26:6|31:9|42:6|53:3|64:8|75:5|86:10|154:6|165:3|176:8|187:5|198:10,"",""
80,"Simran Roy",5|16|27|38|49|60|71|82|93|104|161|172|183|194,5|16|18|27|31|38|44|57|70|83|96|109|122|135|148|161|174|187,5:6|16:3|18:9|27:8|31:4|38:5|49:10|60:7|71:4|82:9|93:6|104:3|161:10|172:7|183:4|194:9,"",""
81,"Aarav Verma",1|12|23|168|179|190,1|5|12|18|23|31|36|49|62|75|88|101|114|127|140|153|166|179|192,1:5|5:9|12:10|18:4|23:7|168:6|179:3|190:8,"",""
82,"Vivaan Das",8|19|30|41|175|186|197,8|10|19|23|28|36|41|49|54|62|67|75|80|93|106|119|132|145|158|171|184|197,8:9|10:7|19:6|23:10|28:5|30:3|41:8|175:10|186:7|197:4,"",""
83,"Aditya Gupta",4|15|26|37|48|59|182|193,4|15|33|46|59|72|85|98|111|124|137|150,4:8|15:5|26:10|33:3|37:7|46:6|48:4|59:9|182:6|193:3,"",""
84,"Arjun Iyer",11|22|33|44|55|66|77|189|200,11|22|33|38|51|64|77|90|103|116|129|142|155|168|181|194,11:4|22:9|33:6|38:9|44:3|51:4|55:8|66:5|77:10|189:10|200:7,"",""
85,"Rohan Patel",7|18|29|40|51|62|73|84|95|196,7|12|18|25|29|38|43|56|69|82|95|108|121|134|147|160|173|186|199,7:3|12:6|18:8|25:9|29:5|40:10|51:7|62:4|73:9|84:6|95:3|196:6,"",""
86,"Kabir Reddy",3|14|25|36|47|58|69|80|91|102|113,3|4|14|17|25|30|43|48|56|61|69|74|82|87|100|113|126|139|152|165|178|191,3:10|4:9|14:7|17:4|25:4|36:9|47:6|58:3|69:8|80:5|91:10|102:7|113:4,"",""
87,"Rahul Singh",10|21|32|43|54|65|76|87|98|109|120|131,10|21|32|43|53|66|79|92|105|118|131|144|157,10:6|21:3|32:8|43:5|53:3|54:10|65:7|76:4|87:9|98:6|109:3|120:8|131:5,"",""
88,"Karan Nair",17|28|39|50|61|72|83|94|105|116|127|138|149,1|17|28|39|50|58|71|84|97|110|123|136|149|162|175|188,1:10|17:10|28:7|39:4|50:9|61:6|72:3|83:8|94:5|105:10|116:7|127:4|138:9|149:6,"",""
89,"Ananya Kumar",24|35|46|57|68|79|90|101|112|123|134|145|156|167,6|19|24|32|35|45|46|57|63|76|89|102|115|128|141|154|167|180|193,6:8|19:3|24:6|32:6|35:3|46:8|57:5|68:10|79:7|90:4|101:9|112:6|123:3|134:8|145:5|156:10|167:7,"",""
90,"Aanya Malhotra",31|42|53|64|75|86,11|24|31|37|42|50|63|68|76|81|89|94|107|120|133|146|159|172|185|198,11:6|24:9|31:10|37:4|42:7|53:4|64:9|75:6|86:3,"",""
91,"Diya Sharma",38|49|60|71|82|93|104,38|49|73|86|99|112|125|138|151|164,38:6|49:3|60:8|71:5|73:3|82:10|86:6|93:7|99:9|104:4,"",""
92,"Ishita Joshi",45|56|67|78|89|100|111|122,8|45|56|78|91|104|117|130|143|156|169|182|195,8:7|45:10|56:7|67:4|78:9|89:6|91:4|100:3|111:8|122:5,"",""
93,"Priya Kapoor",52|63|74|85|96|107|118|129|140,13|26|39|52|63|74|83|96|109|122|135|148|161|174|187|200,13:5|26:8|39:3|52:6|63:3|74:8|85:5|96:10|107:7|118:4|129:9|140:6,"",""
94,"Meera Mehta",59|70|81|92|103|114|125|136|147|158,5|18|31|44|57|59|70|81|83|88|96|101|114|127|140|153|166|179|192,5:8|18:3|31:6|44:9|57:4|59:10|70:7|81:4|92:9|103:6|114:3|125:8|136:5|147:10|158:7,"",""
95,"Kavya Roy",66|77|88|99|110|121|132|143|154|165|176,10|23|36|49|62|66|75|77|88|93|101|106|114|119|127|132|140|145|158|171|184|197,10:6|23:9|36:4|49:7|62:10|66:6|77:3|88:8|99:5|110:10|121:7|132:4|143:9|154:6|165:3|176:8,"",""
96,"Sneha Verma",73|84|95|106|117|128|139|150|161|172|183|194,2|15|73|84|95|98|106|111|124|137|150|163|176|189,2:9|15:4|73:10|84:7|95:4|106:9|117:6|128:3|139:8|150:5|161:10|172:7|183:4|194:9,"",""
97,"Neha Das",1|12|80|91|102|113|124|135|146|157|168|179|190,1|7|12|20|33|46|59|80|91|103|116|129|142|155|168|181|194,1:5|7:7|12:10|20:10|33:5|80:6|91:3|102:8|113:5|124:10|135:7|146:4|157:9|168:6|179:3|190:8,"",""
98,"Riya Gupta",8|19|30|87|98|109|120|131|142|153|164|175|186|197,8|12|19|25|30|38|51|64|77|87|90|103|108|121|134|147|160|173|186|199,8:9|12:5|19:6|25:8|30:3|87:10|98:7|109:4|120:9|131:6|142:3|153:8|164:5|175:10|186:7|197:4,"",""
99,"Pooja Iyer",94|105|116|127|138|149,4|17|30|43|56|69|82|94|95|105|108|113|121|126|134|139|147|152|165|178|191,4:8|17:3|30:6|43:9|56:4|94:6|105:3|116:8|127:5|138:10|149:7,"",""
100,"Simran Patel",101|112|123|134|145|156|167,9|22|101|112|118|131|144|157|170|183|196,9:6|22:9|101:10|112:7|118:9|123:4|134:9|145:6|156:3|167:8,"",""
101,"krish lol",123|58|69,,,"Action|Drama","English"
102,"sudhanshu kumar",66|99|100|123,194,197:6,"Action|Drama","English"
